cell_id,ANXA4,C8orf4,CALB1,CAV1,COL17A1,DCDC2,DMBT1,ECM1,EMP1,EPCAM,FABP5,FAM3B,GATA6,GJB6,ID1,IGFBP6,INHBA,KCNJ16,KIRREL,KRT14,KRT15,KRT16,KRT17,KRT19,KRT5,KRT6A,LAMC2,LDHB,LEFTY1,LGALS1,LY6D,MT1X,MT2A,NDFIP2,NR0B2,NR5A2,PDLIM3,PDLIM7,PIGR,PTHLH,RHCG,S100A2,S100A4,S100A7,SFRP5,SLC3A1,SLC4A4,SLPI,SPINK1,SPRR1B,SYT8,TFPI2,VCAM1,t,dataset,sample_type
CELL_0892,2.0261996,0.0,0.0,0.0,2.688933,0.0,0.0,2.0261996,2.0261996,2.5298555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5958605,0.0,0.0,0.0,0.0,0.0,2.0261996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7238858,0.0,0.0,0.0,0.0,2.0261996,2.0261996,0.0,0.0,0.0,0.0,0.45226878,GSE155698,tumor
CELL_0893,0.0,2.422067,0.0,1.9142563,0.0,0.0,0.0,0.0,0.0,1.1868441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8253509,2.0399039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9142563,0.0,0.0,0.0,0.0,0.0,1.5216838,1.7041832,0.0,0.0,0.0,0.3948802,GSE155698,tumor
CELL_0894,2.874263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.874263,2.6437104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9915223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6437104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6437104,0.0,0.0,0.0,0.0,0.0,0.0,0.38544998,GSE155698,tumor
CELL_0895,2.5440042,2.3134427,0.0,0.0,0.0,0.88442016,0.0,0.0,0.0,2.0433326,0.0,1.6164396,1.2080084,0.0,2.1275856,0.0,0.0,1.521887,0.0,0.88442016,0.0,0.0,0.0,1.3947542,0.0,0.0,0.0,0.0,2.256246,0.88442016,0.0,0.88442016,2.0433326,0.88442016,0.0,0.88442016,1.3947542,0.0,1.2080084,0.0,0.0,0.0,0.0,0.0,2.141464,0.0,2.4033728,0.0,1.521887,0.0,0.0,1.2080084,0.0,0.10352527,GSE155698,adjacent_normal
CELL_0896,1.9432462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3478271,2.4295905,1.8770252,0.9913091,1.5529691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1863937,0.0,0.0,0.9913091,0.0,0.0,0.0,0.0,0.9913091,1.3478271,1.6923434,0.0,0.0,0.0,1.3478271,1.3478271,0.0,0.0,0.0,1.5529691,0.0,0.0,0.0,0.0,2.1863937,1.9432462,0.0,1.3478271,0.0,0.0,0.4691631,GSE155698,tumor
CELL_0897,1.6693015,0.0,0.0,0.0,0.9922458,0.0,1.3382939,0.9922458,0.9922458,2.2118967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922458,1.3382939,1.9622302,0.0,0.0,1.5356958,0.0,0.0,0.0,0.0,0.0,0.0,0.9922458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2675233,1.3382939,0.0,0.0,0.0,0.0,0.50301594,GSE155698,tumor
CELL_0898,1.643402,0.0,0.0,0.0,1.2879698,0.0,0.0,0.5617981,0.85401285,1.8414627,0.0,0.0,0.0,0.0,0.0,0.85401285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1189947,0.0,0.0,1.4444554,0.0,0.0,1.1817786,0.0,1.1817786,1.7128965,1.0441428,0.0,0.0,0.0,0.5617981,1.0441428,0.0,0.0,1.2879698,1.2879698,0.0,0.0,0.0,0.0,1.643402,2.2456784,0.0,1.5569369,0.0,0.0,0.45118356,GSE155698,tumor
CELL_0899,1.4019208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6910768,2.3585403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4019208,1.7801296,0.0,0.0,1.4019208,0.0,0.0,1.4019208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4019208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9868345,3.1727808,0.0,0.0,0.0,0.0,0.48891464,GSE155698,tumor
CELL_0900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0306697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0306697,0.0,0.0,0.3823615,GSE155698,tumor
CELL_0901,1.7869107,0.0,0.0,0.59371084,0.59371084,0.0,0.0,0.0,1.0791311,1.9847575,0.0,1.4023153,0.8898266,0.0,1.4713745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1070704,0.0,0.0,1.214832,0.0,0.0,0.0,0.0,0.8898266,1.3188852,0.59371084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6993952,0.0,0.0,0.0,0.0,2.1514466,0.0,0.0,1.9109212,0.0,0.0,0.5360779,GSE155698,tumor
