KRT17_x,KRT17_v,EMP1_x,EMP1_v,SLC4A4_x,SLC4A4_v,FAM3B_x,FAM3B_v,KRT17_orbit_x,KRT17_orbit_v,EMP1_orbit_x,EMP1_orbit_v,SLC4A4_orbit_x,SLC4A4_orbit_v,FAM3B_orbit_x,FAM3B_orbit_v
3.021227,11.654773712158203,2.1391017,6.721744060516357,0.0,0.00029738296871073544,0.0,0.00026651646476238966,0.18692903220653534,0.25652799010276794,0.20277716219425201,0.5142316818237305,0.466540664434433,-0.9565209150314331,0.3793063163757324,-0.48892757296562195
1.5748816,-0.34716272354125977,1.2374412,0.18364766240119934,2.214754,-2.484915018081665,1.5748816,-1.2205815315246582,0.1877916306257248,0.2593867778778076,0.20450231432914734,0.5173080563545227,0.46333593130111694,-0.9598109722137451,0.37766849994659424,-0.49044522643089294
2.4649208,-1.0179387331008911,0.7557182,0.4218432903289795,0.0,0.0020226037595421076,0.0,0.0006937957368791103,0.18866422772407532,0.2624357342720032,0.20623767375946045,0.5204505324363708,0.46012094616889954,-0.9626309275627136,0.3760260343551636,-0.49169620871543884
0.0,0.20241104066371918,0.0,0.44459593296051025,2.1140978,-2.371283531188965,0.0,0.0019080305937677622,0.1895473301410675,0.26569539308547974,0.2079835683107376,0.5236763954162598,0.456897497177124,-0.9649672508239746,0.37437987327575684,-0.49267441034317017
2.4482672,-1.001266598701477,1.7429775,0.21315452456474304,0.0,0.002372785471379757,0.0,0.0008557948167435825,0.19044175744056702,0.26918986439704895,0.209740549325943,0.527005672454834,0.4536670446395874,-0.9668074250221252,0.3727308213710785,-0.4933745265007019
2.011015,-0.8274871110916138,1.8236128,0.14111757278442383,0.0,0.002082205144688487,0.0,0.0007329876534640789,0.19134828448295593,0.27294468879699707,0.2115088254213333,0.5304604768753052,0.45043110847473145,-0.968138575553894,0.37108007073402405,-0.4937911033630371
2.8134131,-1.1644269227981567,2.374029,-0.02203512191772461,0.0,0.002140970202162862,0.0,0.0007159530650824308,0.19226786494255066,0.2769891619682312,0.21328890323638916,0.5340661406517029,0.4471917152404785,-0.968948483467102,0.36942821741104126,-0.493919312953949
2.139353,-0.8844211101531982,0.0,0.6059536933898926,0.0,0.0020273623522371054,0.0,0.000666277133859694,0.1932014375925064,0.2813560366630554,0.21508139371871948,0.5378514528274536,0.4439503848552704,-0.9692234992980957,0.36777642369270325,-0.49375444650650024
2.961552,-1.2167983055114746,0.0,0.68672114610672,0.0,0.002491943072527647,0.0,0.0009031984372995794,0.19415023922920227,0.28608232736587524,0.2168866991996765,0.5418485999107361,0.4407091438770294,-0.9689518213272095,0.3661258816719055,-0.4932919144630432
0.0,1.1906585693359375,0.0,2.1034770011901855,0.0,0.002471251878887415,0.0,0.0013962768716737628,0.19511549174785614,0.29120945930480957,0.21870610117912292,0.5460946559906006,0.43746981024742126,-0.9681196212768555,0.3644772469997406,-0.49252748489379883
2.275773,-0.9329419732093811,0.0,0.665566623210907,0.0,0.0023277110885828733,0.0,0.0008117241668514907,0.19609853625297546,0.2967838943004608,0.2205398678779602,0.550629734992981,0.4342341721057892,-0.9667137861251831,0.3628317713737488,-0.491457462310791
0.0,0.9586082696914673,3.6812563,1.208479642868042,3.6812563,-4.127823352813721,0.0,0.0021394239738583565,0.1971011757850647,0.30285876989364624,0.2223895788192749,0.5555019378662109,0.431004136800766,-0.9647209644317627,0.36119022965431213,-0.49007803201675415
2.3449042,-0.9659469723701477,2.1331103,0.060707688331604004,0.0,0.0021271714940667152,0.0,0.0007219092221930623,0.19812500476837158,0.30949220061302185,0.22425605356693268,0.5607616305351257,0.42778173089027405,-0.9621270298957825,0.35955390334129333,-0.4883856177330017
2.413589,-0.9974662661552429,1.3325021,0.2622298002243042,0.0,0.002060435013845563,0.0,0.0006989181856624782,0.19917210936546326,0.3167514204978943,0.2261410355567932,0.5664685964584351,0.42456918954849243,-0.9589179754257202,0.3579237163066864,-0.48637738823890686
2.911387,-1.2079169750213623,2.0298405,0.03951060771942139,0.0,0.0018856617389246821,0.0,0.0006076634745113552,0.20024456083774567,0.32471156120300293,0.22804570198059082,0.5726879835128784,0.4213683009147644,-0.9550784826278687,0.35630089044570923,-0.484049916267395
