t,KRT17,EMP1,S100A2,KRT16,t_grid,KRT17_pinn,EMP1_pinn,S100A2_pinn,KRT16_pinn
0.5018825,2.8427348,0.0,2.6049483,0.0,0.8341708542713568,1.1859958171844482,1.2303601503372192,1.2952383756637573,0.9588184952735901
0.49091542,1.522022,1.1796423,2.7846458,0.0,0.8391959798994975,1.1835362911224365,1.2321150302886963,1.2923393249511719,0.9591070413589478
0.43560025,1.16491,1.2969918,1.4767047,0.84635705,0.8442211055276382,1.181111216545105,1.2338573932647705,1.2894610166549683,0.9594045281410217
0.49675235,2.6278124,1.0669274,2.0752575,2.2407212,0.8492462311557789,1.1787216663360596,1.235587239265442,1.2866038084030151,0.9597111940383911
0.47971466,2.4647362,1.7658502,2.654618,0.5452286,0.8542713567839196,1.1763674020767212,1.237304925918579,1.2837677001953125,0.9600274562835693
0.49635318,2.4746666,1.826297,2.5701413,0.0,0.8592964824120604,1.174048662185669,1.2390108108520508,1.2809523344039917,0.9603540897369385
0.0,0.0,0.0,0.0,0.0,0.864321608040201,1.171765923500061,1.240704894065857,1.2781590223312378,0.9606905579566956
0.48379472,1.9018084,0.406286,2.4916134,1.4782298,0.8693467336683417,1.169519066810608,1.2423877716064453,1.2753866910934448,0.9610378742218018
0.48299628,2.4202225,1.3678298,2.596765,0.84889823,0.8743718592964824,1.1673088073730469,1.2440595626831055,1.2726356983184814,0.9613959193229675
0.12435977,0.0,0.0,0.0,0.0,0.8793969849246231,1.1651346683502197,1.2457205057144165,1.2699068784713745,0.9617648124694824
0.4758659,2.352179,1.3922564,2.6942725,1.269337,0.8844221105527639,1.162996768951416,1.247370719909668,1.267199993133545,0.9621450901031494
0.14289619,1.9923798,1.9923798,1.9923798,0.0,0.8894472361809045,1.1608957052230835,1.2490110397338867,1.264514684677124,0.9625363349914551
0.14285564,1.6363353,0.51606005,1.4815072,0.97798884,0.8944723618090452,1.1588308811187744,1.250641107559204,1.2618515491485596,0.9629392623901367
0.5748311,2.0671685,2.018079,2.2709043,1.7820317,0.8994974874371859,1.1568024158477783,1.2522612810134888,1.2592105865478516,0.96335369348526
0.48921877,2.6680772,1.1143559,2.7528353,1.7647794,0.9045226130653267,1.1548104286193848,1.2538721561431885,1.2565913200378418,0.9637799263000488
0.2847048,0.0,0.0,0.0,0.0,0.9095477386934674,1.1528544425964355,1.2554738521575928,1.2539942264556885,0.9642177820205688
0.49426776,2.9107475,2.0316086,2.9640915,0.0,0.914572864321608,1.1509346961975098,1.2570664882659912,1.2514201402664185,0.9646673798561096
0.46797612,2.297164,0.44937536,2.5207772,0.54852974,0.9195979899497487,1.1490507125854492,1.258650779724121,1.2488677501678467,0.9651291370391846
0.13225843,0.0,0.0,0.0,0.0,0.9246231155778895,1.1472026109695435,1.2602267265319824,1.2463382482528687,0.965602457523346
0.43605626,1.8045915,2.096324,2.4821665,0.0,0.9296482412060302,1.1453901529312134,1.2617943286895752,1.2438304424285889,0.966088056564331
0.52722454,2.3647997,2.1119478,2.3723707,1.6985154,0.9346733668341709,1.1436129808425903,1.263353943824768,1.241344928741455,0.9665853977203369
0.09683289,0.0,0.0,0.0,0.0,0.9396984924623115,1.1418706178665161,1.264906406402588,1.238882064819336,0.9670945405960083
0.38096908,2.2869925,0.0,1.6877651,2.2869925,0.9447236180904522,1.140163540840149,1.266451358795166,1.2364418506622314,0.9676158428192139
0.92519885,2.3439684,2.4166598,2.4731367,2.4166598,0.949748743718593,1.1384906768798828,1.2679895162582397,1.2340235710144043,0.968148946762085
0.5276628,1.9924933,0.0,2.3035338,1.7724154,0.9547738693467337,1.1368520259857178,1.2695207595825195,1.2316274642944336,0.9686937928199768
0.12027342,2.3474855,0.0,0.0,0.0,0.9597989949748744,1.1352474689483643,1.2710458040237427,1.2292540073394775,0.9692507386207581
0.16286393,1.9705654,0.0,0.0,0.0,0.964824120603015,1.133676290512085,1.2725640535354614,1.2269024848937988,0.9698194265365601
0.28617406,0.0,0.0,0.0,0.0,0.9698492462311558,1.1321382522583008,1.27407705783844,1.2245737314224243,0.9703994989395142
0.47988418,2.4971223,2.023114,2.727055,1.831442,0.9748743718592965,1.1306332349777222,1.275584101676941,1.222266674041748,0.9709916114807129
